"Timestamp","Entering Grade Level","District","Birth Month","OLSAT Verbal Percentile","NNAT Non Verbal Percentile","Overall Score","School Preferences","School Assigned","Will you enroll there?","Year"
2017-04-08,1,6,"September",99,99,99,"NEST+m, TAG, Anderson, Q300","NEST","YES",2017
2017-04-07,0,NA,"August",99,99,99,"Anderson, NEST+m",NA,"Maybe",2017
2017-04-07,1,NA,"March",96,99,98,NA,NA,"Maybe",2017
2017-04-07,0,NA,"September",97,99,98,NA,NA,NA,2017
2017-04-10,0,22,"April",98,99,99,"Brooklyn School of Inquiry","Currently - local Brooklyn dual language","Maybe",2017
2017-04-07,0,NA,"February",99,99,99,"Anderson NEST TAG Q300",NA,NA,2017
2017-04-07,0,NA,"October",99,99,99,"Nest+M, Anderson",NA,"Yes",2017
2017-04-07,1,NA,"March",81,99,95,NA,NA,NA,2017
2017-04-07,2,NA,"April",99,99,99,"Any citywide or district 3 school",NA,"Yes",2017
2017-04-07,0,NA,"June",77,99,94,NA,NA,"Maybe",2017
2017-04-07,0,NA,"December",98,99,99,NA,NA,NA,2017
2017-04-07,1,NA,"July",86,98,94,NA,NA,NA,2017
2017-04-07,1,NA,"May",99,99,99,NA,NA,NA,2017
2017-04-07,1,NA,"January",96,99,98,NA,NA,NA,2017
2017-04-07,0,NA,"January",99,99,99,NA,NA,NA,2017
2017-04-07,1,NA,"January",89,99,96,NA,NA,NA,2017
2017-04-07,1,NA,"June",89,99,96,NA,NA,NA,2017
2017-04-08,0,11,"December",96,99,98,"PS121",NA,"Yes",2017
2017-04-08,0,3,"August",99,99,99,"Anderson, NEST+m",NA,"Maybe",2017
2017-04-08,0,26,"May",99,99,99,"Anderson","PS 203","Maybe",2017
2017-04-08,0,28,"July",99,99,99,NA,NA,NA,2017
2017-04-08,2,2,"February",97,99,98,NA,NA,NA,2017
2017-04-08,1,3,"November",99,99,99,"Anderson, NEST+M, Lower Lab",NA,"Yes",2017
2017-04-08,1,1,"January",89,99,96,NA,NA,NA,2017
2017-04-08,2,26,"January",97,99,98,"PS Q203","PS Q203","Yes",2017
2017-04-08,1,2,"March",99,99,99,NA,NA,"Maybe",2017
2017-04-08,2,2,"November",99,99,99,"Anderson",NA,"Yes",2017
2017-04-08,1,15,"January",89,99,96,"Likely staying in zoned schools; D15 G&T options are limited.",NA,NA,2017
2017-04-08,0,25,"February",99,99,99,"TBD",NA,"Yes",2017
2017-04-09,0,14,"May",99,99,99,"Nest",NA,"Maybe",2017
2017-04-10,0,11,"March",97,99,98,"Tag","175","Maybe",2017
2017-04-10,0,20,"May",87,99,96,"PS229",NA,"No",2017
2017-04-10,0,25,"May",97,98,98,"Anderson","PS 32 Q","Yes",2017
2017-04-10,0,28,"August",55,90,76,NA,NA,NA,2017
